vitri,noilmviec,mucluong,ThoiGianDangGoc,kynang,link,NgayDang
BA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684727,2026-07-08 13:48:01.153
DS,Hà Nội,Thỏa thuận,2 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Pandas, NumPy, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684726,2026-07-08 13:48:01.153
MLE,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684724,2026-07-08 13:48:01.153
DE,Hà Nội,Thỏa thuận,2 ngày trước,"Python, SQL, Power BI, Tableau, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684723,2026-07-08 13:48:01.153
DA,Hà Nội,Thỏa thuận,2 ngày trước,"Python, SQL, Tableau, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/684722,2026-07-08 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, Excel, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684721,2026-07-08 13:48:01.153
MLE,Hà Nội,Thỏa thuận,2 ngày trước,"Python, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/684719,2026-07-08 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684716,2026-07-08 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684714,2026-07-08 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, Excel, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684712,2026-07-08 13:48:01.153
DA,Hà Nội,Thỏa thuận,2 ngày trước,"SQL, Power BI, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684709,2026-07-08 13:48:01.153
DE,Toàn quốc / Chưa rõ,Thỏa thuận,2 ngày trước,"Spark, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/684706,2026-07-08 13:48:01.153
DE,Hà Nội,Thỏa thuận,2 ngày trước,"Python, SQL, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684705,2026-07-08 13:48:01.153
Other,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Spark, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684701,2026-07-08 13:48:01.153
BA,Hà Nội,Thỏa thuận,2 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684699,2026-07-08 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"AWS, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684700,2026-07-08 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"SQL, Power BI, Tableau, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/684696,2026-07-08 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Power BI, Excel, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/684697,2026-07-08 13:48:01.153
DE,Hà Nội,Thỏa thuận,2 ngày trước,"Excel, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684694,2026-07-08 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, Excel, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684695,2026-07-08 13:48:01.153
BA,Hà Nội,Thỏa thuận,2 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684693,2026-07-08 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Excel, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684690,2026-07-08 13:48:01.153
DA,Hà Nội,Thỏa thuận,2 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684689,2026-07-08 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Power BI, Excel, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/684688,2026-07-08 13:48:01.153
DA,Hà Nội,Thỏa thuận,2 ngày trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684686,2026-07-08 13:48:01.153
Other,Hà Nội,Thỏa thuận,2 ngày trước,"Python, SQL, AWS, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684684,2026-07-08 13:48:01.153
Other,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684683,2026-07-08 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"SQL, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683868,2026-07-08 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683786,2026-07-08 13:48:01.153
DE,Hà Nội,Thỏa thuận,2 ngày trước,"Python, SQL, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/683712,2026-07-08 13:48:01.153
DS,Toàn quốc / Chưa rõ,Thỏa thuận,2 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/683683,2026-07-08 13:48:01.153
DE,Hà Nội,Thỏa thuận,2 ngày trước,"Python, SQL, Tableau, Spark, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683429,2026-07-08 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683356,2026-07-08 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"SQL, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/683315,2026-07-08 13:48:01.153
DS,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Excel, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/683277,2026-07-08 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683268,2026-07-08 13:48:01.153
DA,Hà Nội,Thỏa thuận,2 ngày trước,"SQL, Power BI, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/682382,2026-07-08 13:48:01.153
DS,Hà Nội,Thỏa thuận,2 ngày trước,"Python, SQL, Spark, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/663823,2026-07-08 13:48:01.153
DS,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Spark, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/619300,2026-07-08 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"SQL, Power BI, Excel, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/556585,2026-07-08 13:48:01.153
BA,Hà Nội,Thỏa thuận,2 ngày trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/554927,2026-07-08 13:48:01.153
BA,Toàn quốc / Chưa rõ,Thỏa thuận,3 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684995,2026-07-07 13:48:01.153
BA,TP. Hồ Chí Minh,35 - 40 triệu,3 ngày trước,"SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684992,2026-07-07 13:48:01.153
BA,Hà Nội,25 - 30 triệu,3 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684996,2026-07-07 13:48:01.153
BA,Hà Nội,20 - 25 triệu,3 ngày trước,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684999,2026-07-07 13:48:01.153
BA,Hà Nội,Thỏa thuận,3 ngày trước,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684989,2026-07-07 13:48:01.153
BA,Hà Nội,25 - 35 triệu,3 ngày trước,"Power BI, Tableau, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684991,2026-07-07 13:48:01.153
BA,Hà Nội,Thỏa thuận,3 ngày trước,"Python, SQL, Power BI, Tableau, AWS, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684668,2026-07-07 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,3 ngày trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684651,2026-07-07 13:48:01.153
DA,Hà Nội,Thỏa thuận,3 ngày trước,"SQL, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684649,2026-07-07 13:48:01.153
DA,Toàn quốc / Chưa rõ,Thỏa thuận,3 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684636,2026-07-07 13:48:01.153
DS,Toàn quốc / Chưa rõ,Thỏa thuận,3 ngày trước,"Python, SQL, Pandas, NumPy, Spark, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684545,2026-07-07 13:48:01.153
MLE,Toàn quốc / Chưa rõ,Thỏa thuận,3 ngày trước,"Python, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/684423,2026-07-07 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,3 ngày trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684300,2026-07-07 13:48:01.153
MLE,Toàn quốc / Chưa rõ,Thỏa thuận,3 ngày trước,"Python, SQL, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684257,2026-07-07 13:48:01.153
MLE,Toàn quốc / Chưa rõ,Thỏa thuận,3 ngày trước,"Python, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684253,2026-07-07 13:48:01.153
BA,Hà Nội,Thỏa thuận,4 ngày trước,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685185,2026-07-06 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,4 ngày trước,"Python, SQL, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684971,2026-07-06 13:48:01.153
AI Engineer,Hà Nội,16 - 35 triệu,4 ngày trước,"Python, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684967,2026-07-06 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,4 ngày trước,"AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/684938,2026-07-06 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,4 ngày trước,"SQL, Power BI, Machine Learning, R",https://jobs.xomdata.com/jobs/684936,2026-07-06 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,4 ngày trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684653,2026-07-06 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,4 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684610,2026-07-06 13:48:01.153
BA,Hà Nội,Thỏa thuận,3 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684601,2026-07-07 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,4 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/684588,2026-07-06 13:48:01.153
DS,TP. Hồ Chí Minh,Thỏa thuận,4 ngày trước,"Python, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/684586,2026-07-06 13:48:01.153
DS,Toàn quốc / Chưa rõ,Thỏa thuận,4 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684582,2026-07-06 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,4 ngày trước,"Python, AWS, Azure, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683138,2026-07-06 13:48:01.153
DA,Hà Nội,Thỏa thuận,4 ngày trước,"Python, SQL, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683078,2026-07-06 13:48:01.153
DA,Toàn quốc / Chưa rõ,Thỏa thuận,4 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/85263,2026-07-06 13:48:01.153
DA,Toàn quốc / Chưa rõ,Thỏa thuận,4 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/78057,2026-07-06 13:48:01.153
DA,Hà Nội,Thỏa thuận,5 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684949,2026-07-05 13:48:01.153
DA,Hà Nội,Thỏa thuận,5 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684894,2026-07-05 13:48:01.153
MLE,Hà Nội,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684880,2026-07-05 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684892,2026-07-05 13:48:01.153
BA,Hà Nội,Thỏa thuận,5 ngày trước,"SQL, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684877,2026-07-05 13:48:01.153
DE,Hà Nội,Thỏa thuận,5 ngày trước,"SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684839,2026-07-05 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684842,2026-07-05 13:48:01.153
DA,Hà Nội,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684821,2026-07-05 13:48:01.153
DS,Hà Nội,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684812,2026-07-05 13:48:01.153
DA,Hà Nội,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684811,2026-07-05 13:48:01.153
DA,Hà Nội,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684790,2026-07-05 13:48:01.153
DA,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684758,2026-07-05 13:48:01.153
DE,Hà Nội,Thỏa thuận,5 ngày trước,"Tableau, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/684766,2026-07-05 13:48:01.153
DS,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Power BI, Tableau, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/684768,2026-07-05 13:48:01.153
MLE,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Spark, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684772,2026-07-05 13:48:01.153
DA,Hà Nội,Thỏa thuận,5 ngày trước,"SQL, Power BI, Tableau, Machine Learning, R",https://jobs.xomdata.com/jobs/684751,2026-07-05 13:48:01.153
DA,Hà Nội,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684752,2026-07-05 13:48:01.153
DA,Hà Nội,Thỏa thuận,5 ngày trước,"SQL, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684753,2026-07-05 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/684567,2026-07-05 13:48:01.153
DS,Toàn quốc / Chưa rõ,Thỏa thuận,5 ngày trước,"Python, SQL, Tableau, Pandas, NumPy, Machine Learning, R",https://jobs.xomdata.com/jobs/684554,2026-07-05 13:48:01.153
DE,Toàn quốc / Chưa rõ,Thỏa thuận,4 ngày trước,"Python, SQL, Spark, AWS, Azure, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684551,2026-07-06 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,4 ngày trước,"Python, SQL, Power BI, Spark, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684548,2026-07-06 13:48:01.153
DA,Toàn quốc / Chưa rõ,Thỏa thuận,5 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684542,2026-07-05 13:48:01.153
DA,Hà Nội,Thỏa thuận,5 ngày trước,"SQL, Power BI, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684541,2026-07-05 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684539,2026-07-05 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684537,2026-07-05 13:48:01.153
BA,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Power BI, Tableau, AWS, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684535,2026-07-05 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684533,2026-07-05 13:48:01.153
BA,Hà Nội,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684532,2026-07-05 13:48:01.153
DS,Hà Nội,Thỏa thuận,5 ngày trước,"Python, Excel, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684530,2026-07-05 13:48:01.153
BA,Hà Nội,Thỏa thuận,5 ngày trước,"SQL, Power BI, Tableau, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684529,2026-07-05 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"SQL, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684527,2026-07-05 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Excel, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684526,2026-07-05 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684523,2026-07-05 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,5 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/684521,2026-07-05 13:48:01.153
BA,Hà Nội,Thỏa thuận,5 ngày trước,"Python, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684519,2026-07-05 13:48:01.153
BA,Hà Nội,Thỏa thuận,5 ngày trước,"Python, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684520,2026-07-05 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,5 ngày trước,"Python, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/684518,2026-07-05 13:48:01.153
DE,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Spark, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684516,2026-07-05 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684515,2026-07-05 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Excel, Spark, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684514,2026-07-05 13:48:01.153
DE,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684512,2026-07-05 13:48:01.153
BA,Hà Nội,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684509,2026-07-05 13:48:01.153
DS,Hà Nội,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684508,2026-07-05 13:48:01.153
MLE,Hà Nội,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684502,2026-07-05 13:48:01.153
DE,Hà Nội,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684501,2026-07-05 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684499,2026-07-05 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684496,2026-07-05 13:48:01.153
DS,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Pandas, NumPy, Machine Learning, R",https://jobs.xomdata.com/jobs/684495,2026-07-05 13:48:01.153
DA,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Power BI, Excel, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684493,2026-07-05 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Pandas, NumPy, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684492,2026-07-05 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684490,2026-07-05 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"SQL, Excel, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684488,2026-07-05 13:48:01.153
MLE,Toàn quốc / Chưa rõ,Thỏa thuận,5 ngày trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684489,2026-07-05 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684486,2026-07-05 13:48:01.153
BA,Toàn quốc / Chưa rõ,Thỏa thuận,6 ngày trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684406,2026-07-04 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, AWS, Azure, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684483,2026-07-05 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684484,2026-07-05 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"AWS, Azure, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684482,2026-07-05 13:48:01.153
MLE,Toàn quốc / Chưa rõ,Thỏa thuận,5 ngày trước,"Python, SQL, Pandas, NumPy, Spark, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684480,2026-07-05 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684478,2026-07-05 13:48:01.153
MLE,Toàn quốc / Chưa rõ,Thỏa thuận,5 ngày trước,"Python, SQL, Pandas, NumPy, Spark, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684476,2026-07-05 13:48:01.153
AI Engineer,Toàn quốc / Chưa rõ,Thỏa thuận,5 ngày trước,"Python, Spark, AWS, Azure, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684420,2026-07-05 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684286,2026-07-05 13:48:01.153
DE,Toàn quốc / Chưa rõ,Thỏa thuận,5 ngày trước,"Python, SQL, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684210,2026-07-05 13:48:01.153
BA,Toàn quốc / Chưa rõ,Thỏa thuận,5 ngày trước,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684209,2026-07-05 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683988,2026-07-05 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"SQL, Power BI, Excel, AWS, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/683984,2026-07-05 13:48:01.153
BA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683689,2026-07-05 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683685,2026-07-05 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, SQL, Excel, Pandas, Spark, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683559,2026-07-05 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,5 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/683412,2026-07-05 13:48:01.153
DS,Hà Nội,Thỏa thuận,5 ngày trước,"Python, SQL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683077,2026-07-05 13:48:01.153
DE,Toàn quốc / Chưa rõ,Thỏa thuận,5 ngày trước,"Python, Excel, Spark, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/683073,2026-07-05 13:48:01.153
DA,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683071,2026-07-05 13:48:01.153
DE,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"SQL, Spark, AWS, Azure, Docker, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/592891,2026-07-05 13:48:01.153
DS,Toàn quốc / Chưa rõ,Thỏa thuận,5 ngày trước,"Python, Excel, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/110958,2026-07-05 13:48:01.153
DS,Hà Nội,Thỏa thuận,5 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/106744,2026-07-05 13:48:01.153
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/106278,2026-07-05 13:48:01.153
DS,TP. Hồ Chí Minh,Thỏa thuận,5 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/106160,2026-07-05 13:48:01.153
BA,Hà Nội,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685062,2026-07-04 13:48:01.153
DA,Hà Nội,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684924,2026-07-04 13:48:01.153
BA,Toàn quốc / Chưa rõ,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684895,2026-07-04 13:48:01.153
BA,Toàn quốc / Chưa rõ,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684897,2026-07-04 13:48:01.153
BA,Hà Nội,Thỏa thuận,6 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684898,2026-07-04 13:48:01.153
BA,Hà Nội,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684899,2026-07-04 13:48:01.153
DE,Hà Nội,Thỏa thuận,6 ngày trước,"Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/684847,2026-07-04 13:48:01.153
AI Engineer,Hà Nội,Thỏa thuận,6 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684813,2026-07-04 13:48:01.153
