Vị trí công việc,Nơi làm việc,Mức lương,Thời gian đăng,Kỹ năng yêu cầu,Đường link chi tiết
Data Engineering Lead UrBox - Digital Rewards & Loyalty Solution Thoả thuận · TP.Hồ Chí Minh Lead Data Engineer 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, SQL, Spark, AWS, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/670323
(Senior/Lead) Data Engineer CMC Global Company Limited. Thoả thuận · Hà Nội Lead Data Engineer 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"Python, SQL, Spark, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/661948
WQBRAIN AI Researcher WorldQuant Thoả thuận · TP.Hồ Chí Minh Data Scientist 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/637724
Senior to Manager | Data Engineer in HCMC Office EY Thoả thuận · TP.Hồ Chí Minh Manager Data Engineer 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, SQL, Spark, Azure, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/630871
IT Business Analyst UNIT Technology Corporation Thoả thuận · TP.Hồ Chí Minh Business Analyst 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"SQL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/619513
Senior Data Analyst BE GROUP Thoả thuận · TP.Hồ Chí Minh Senior Data Analyst 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, SQL, Power BI, Tableau, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/584560
Financial Data Analyst | $30/hr Remote Crossing Hurdles Thoả thuận · Việt Nam Data Analyst 12 ngày trước,Toàn quốc / Chưa rõ,Thỏa thuận,12 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/565670
"USI VIETNAM: Business Analyst Universal Scientific Industrial Co., Ltd. Thoả thuận · Hai Phong Business Analyst 12 ngày trước",Toàn quốc / Chưa rõ,Thỏa thuận,12 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/444053
"Business Analyst, Vietnam Boston Consulting Group (BCG) Thoả thuận · Hà Nội Business Analyst 12 ngày trước",Hà Nội,Thỏa thuận,12 ngày trước,"Excel, Spark, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/438522
Principal AI Engineer (R&D) Glass Egg - a Virtuos Studio Thoả thuận · TP.Hồ Chí Minh Principal AI Engineer 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, SQL, Excel, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/437578
Risk Management Consultant (Data Analytics Focus) MoMo (M_Service) Thoả thuận · TP.Hồ Chí Minh Data Analyst 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/347252
AI Engineer EPAM Systems Thoả thuận · TP.Hồ Chí Minh AI Engineer 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/260408
AI Data Engineer Intern Corsair Thoả thuận · TP.Hồ Chí Minh Intern Data Engineer 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, SQL, Power BI, Machine Learning, R",https://jobs.xomdata.com/jobs/257100
Industrial Engineer (Data Analytics) (Contract role) Intel Thoả thuận · TP.Hồ Chí Minh ML Engineer 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, SQL, Power BI, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/39968
"Senior Data Analyst - Recommendation, Feeds, Growth (AI/LLM) Binance Thoả thuận · Hà Nội Senior Data Analyst 12 ngày trước",Hà Nội,Thỏa thuận,12 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Spark, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/38082
