link,kynangchitiet
https://jobs.xomdata.com/jobs/685070,Excel
https://jobs.xomdata.com/jobs/685070,Pandas
https://jobs.xomdata.com/jobs/685070,NumPy
https://jobs.xomdata.com/jobs/685070,AWS
https://jobs.xomdata.com/jobs/685070,Machine Learning
https://jobs.xomdata.com/jobs/685070,R
https://jobs.xomdata.com/jobs/685070,Git
https://jobs.xomdata.com/jobs/685067,Python
https://jobs.xomdata.com/jobs/685067,SQL
https://jobs.xomdata.com/jobs/685067,AWS
https://jobs.xomdata.com/jobs/685067,Machine Learning
https://jobs.xomdata.com/jobs/685067,R
https://jobs.xomdata.com/jobs/685068,Python
https://jobs.xomdata.com/jobs/685068,SQL
https://jobs.xomdata.com/jobs/685068,Pandas
https://jobs.xomdata.com/jobs/685068,NumPy
https://jobs.xomdata.com/jobs/685068,Spark
https://jobs.xomdata.com/jobs/685068,AWS
https://jobs.xomdata.com/jobs/685068,Azure
https://jobs.xomdata.com/jobs/685068,Docker
https://jobs.xomdata.com/jobs/685068,Machine Learning
https://jobs.xomdata.com/jobs/685068,R
https://jobs.xomdata.com/jobs/685068,Git
https://jobs.xomdata.com/jobs/685066,Python
https://jobs.xomdata.com/jobs/685066,SQL
https://jobs.xomdata.com/jobs/685066,Excel
https://jobs.xomdata.com/jobs/685066,Spark
https://jobs.xomdata.com/jobs/685066,ETL
https://jobs.xomdata.com/jobs/685066,Machine Learning
https://jobs.xomdata.com/jobs/685066,R
https://jobs.xomdata.com/jobs/685064,Python
https://jobs.xomdata.com/jobs/685064,Excel
https://jobs.xomdata.com/jobs/685064,Machine Learning
https://jobs.xomdata.com/jobs/685064,R
https://jobs.xomdata.com/jobs/685064,Git
https://jobs.xomdata.com/jobs/685061,Excel
https://jobs.xomdata.com/jobs/685061,Machine Learning
https://jobs.xomdata.com/jobs/685061,R
https://jobs.xomdata.com/jobs/685061,Git
https://jobs.xomdata.com/jobs/685059,Python
https://jobs.xomdata.com/jobs/685059,SQL
